00000000,00000001,00000010,00000011,00000100,00000101,00000110,00000111,00001000,00001001,00001010,00001011,00001100,00001101,00001110,00001111,00010000,00010001,00010010,00010011,00010100,00010101,00010110,00010111,00011000,00011001,00011010,00011011,00011100,00011101,00011110,00011111,00100000,00100001,00100010,00100011,00100100,00100101,00100110,00100111,00101000,00101001,00101010,00101011,00101100,00101101,00101110,00101111,00110000,00110001,00110010,00110011,00110100,00110101,00110110,00110111,00111000,00111001,00111010,00111011,00111100,00111101,00111110,00111111,01000000,01000001,01000010,01000011,01000100,01000101,01000110,01000111,01001000,01001001,01001010,01001011,01001100,01001101,01001110,01001111,01010000,01010001,01010010,01010011,01010100,01010101,01010110,01010111,01011000,01011001,01011010,01011011,01011100,01011101,01011110,01011111,01100000,01100001,01100010,01100011,01100100,01100101,01100110,01100111,01101000,01101001,01101010,01101011,01101100,01101101,01101110,01101111,01110000,01110001,01110010,01110011,01110100,01110101,01110110,01110111,01111000,01111001,01111010,01111011,01111100,01111101,01111110,01111111,10000000,10000001,10000010,10000011,10000100,10000101,10000110,10000111,10001000,10001001,10001010,10001011,10001100,10001101,10001110,10001111,10010000,10010001,10010010,10010011,10010100,10010101,10010110,10010111,10011000,10011001,10011010,10011011,10011100,10011101,10011110,10011111,10100000,10100001,10100010,10100011,10100100,10100101,10100110,10100111,10101000,10101001,10101010,10101011,10101100,10101101,10101110,10101111,10110000,10110001,10110010,10110011,10110100,10110101,10110110,10110111,10111000,10111001,10111010,10111011,10111100,10111101,10111110,10111111,11000000,11000001,11000010,11000011,11000100,11000101,11000110,11000111,11001000,11001001,11001010,11001011,11001100,11001101,11001110,11001111,11010000,11010001,11010010,11010011,11010100,11010101,11010110,11010111,11011000,11011001,11011010,11011011,11011100,11011101,11011110,11011111,11100000,11100001,11100010,11100011,11100100,11100101,11100110,11100111,11101000,11101001,11101010,11101011,11101100,11101101,11101110,11101111,11110000,11110001,11110010,11110011,11110100,11110101,11110110,11110111,11111000,11111001,11111010,11111011,11111100,11111101,11111110,11111111
1644,472,70,42,61,41,4,3,84,27,2,3,2,2,,,88,33,2,1,1,1,,,14,17,,1,1,,,,259,101,8,7,5,4,,,10,8,,,1,1,,,26,16,2,,1,3,,,3,1,,,,1,,,56,22,2,,1,4,,,,1,,,,,,,2,1,,,1,,,,,1,,,,,,,9,6,,1,,,,,2,1,,,,,,,,,,,,,,,,1,,,,,,,380,176,16,11,13,12,1,,22,20,,3,,1,,,22,15,1,,,1,,,1,3,,,,,,,69,26,3,3,1,3,,,4,1,,,1,1,,,5,2,,,1,,,,2,2,,,,,,,37,21,,2,,1,,,,4,,,,,,,,1,,,,,,,,,,,1,,,,12,7,,1,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,
2083,365,51,32,120,37,4,3,80,30,2,2,20,10,,1,79,28,2,3,3,6,,,10,12,,,,1,,,280,80,12,8,17,11,,,11,5,,1,7,4,,1,20,13,2,,4,,,,5,2,,,1,2,,,37,13,4,2,6,2,,,,1,,,2,,1,,2,2,,,,,,,,,,,,,,,16,7,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,260,58,2,2,11,10,2,2,12,4,,,2,1,,,9,1,,,,,,,1,2,,,,,,,43,18,1,,4,,,1,2,,,,,,,,4,3,,,,,,,1,1,,,,,,,30,11,2,,1,,,,3,3,,,,,,,,1,,,,,,,,,,,,,,,14,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1676,402,54,24,72,39,1,3,65,43,1,1,14,16,,,63,32,2,1,2,2,,,8,11,,,3,,,,224,76,8,4,15,4,,1,12,6,2,,4,3,,,16,9,1,,1,1,,,4,5,,,,1,,,33,21,2,,2,2,,,,,,,,,,,2,1,,,,,,,,,,,,,,,10,11,,,,1,,,,,,,,,,,2,1,,,,1,,,,,,,,,,,488,195,14,8,21,15,,,24,10,2,1,3,1,,,29,13,,,,,,,4,5,,,2,,,,87,33,4,1,2,3,1,,10,1,,,,1,,,9,5,,1,1,1,,,1,4,,,,,,,27,17,2,,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,8,11,,1,2,,,,1,,,,,,,,,2,,,,,,,,,,,,,,
1726,436,53,25,91,34,6,5,77,29,8,3,25,10,4,,71,25,,4,5,4,,,10,30,,1,3,2,,,259,84,11,5,14,4,,,12,7,,,5,2,,,16,18,,1,2,1,,,1,10,,,1,1,,,39,17,1,1,1,2,,,3,2,,,,1,,,,1,,,,,,,,,,,,,,,14,11,,,,,,,,,,,1,1,,,1,1,,,,,,,,,,,,,,,413,131,12,8,20,17,2,1,20,14,1,,6,5,,,16,8,,1,1,,,,2,2,,,,,,,66,18,4,,7,4,,,4,3,,,,,,,7,1,1,,,,,,1,2,,,,,,,24,7,3,,1,3,,,1,1,,,,,,,,1,,,,,,,,,,,,,,,10,7,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
1930,445,79,26,66,34,10,2,68,30,3,1,12,12,2,1,76,28,1,1,1,,,,12,18,,1,3,1,,,281,77,8,2,18,11,1,,12,6,,,4,5,,,25,16,1,,,1,,,6,6,,,1,2,,,42,12,3,,4,,,,4,2,,,1,,,,,1,,,,,,,1,1,,,,,,,10,12,,,,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,325,88,10,3,11,5,2,,14,6,,,,1,1,1,9,6,,,1,,,,1,2,,1,,,,,53,17,1,,,3,,,1,1,1,,2,,,,5,2,,,,,,,,2,,,,,,,22,17,1,,,3,,,2,2,,,,,1,,1,,,,,,,,1,1,,,,,,,12,9,1,,,1,,,1,1,,,,1,,,1,1,,,,,,,,,,,,,,
1964,454,53,16,61,36,3,,83,27,5,3,20,9,1,1,69,20,4,,1,1,,,12,14,2,2,1,2,,,379,79,14,7,17,9,,1,20,9,,1,7,1,1,,18,13,1,,1,2,,1,5,5,,,,,,,39,18,,,4,4,1,,5,1,,,,,,,3,2,,,,,,,1,,,,,,,,17,6,,,1,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,237,77,9,7,14,5,,1,16,5,,1,1,,,,8,7,,,1,,,,,1,,,,,,,51,19,1,1,2,2,1,,3,,,,,1,,,5,1,,,,,,,1,,,,,,,,15,12,1,1,3,,,,1,,,,,,,,2,1,,,,,,,,1,,,,,,,6,9,1,,1,,,,,,1,,,,,,2,1,,,,,,,,,,,,,,
1960,405,66,32,86,46,3,3,73,32,8,3,11,11,,,81,25,3,,3,2,,,7,15,1,1,4,1,,,328,98,11,9,15,5,2,,19,7,,,4,4,,,19,12,,,1,,,,3,2,,,,,,,41,25,1,,,2,,1,2,2,,,1,,,,3,1,,,,,,,1,,,,,,,,16,8,,,,,,,1,,,,,,,,1,1,1,,,,,,,1,,,,,,,262,84,8,4,18,9,1,,11,4,1,,1,3,,,14,6,,,,1,,,2,3,,,,,,,40,18,1,1,4,,,,2,1,,,,1,,,4,1,,,,,,,,1,,,,,,,14,16,,,1,1,,,1,1,,,,,,,1,1,,1,,1,,,,1,,,,,,,10,8,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,
1918,434,57,16,76,61,4,2,73,40,7,1,7,8,2,1,79,27,5,1,8,4,,,19,25,,1,,,,1,353,91,3,5,22,9,3,1,14,5,2,1,4,4,,,21,24,,,2,,,,3,4,,,,,,,45,22,,2,,2,,,2,1,,,1,,,,4,5,,,,,,,,1,,,,,,,10,5,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,256,69,9,7,8,10,,,9,7,,,1,2,,,9,5,,,,1,,,4,2,,,,,,,56,10,2,,1,3,,,2,,,,,1,,,2,2,,,,,,,,,,,,,,,27,13,2,1,2,1,,,2,1,,,,1,,,,,,,,,,,1,1,,,,,,,5,9,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,
1810,441,67,30,104,73,6,10,80,32,2,2,18,12,,1,80,43,3,,2,2,,3,16,21,,,1,,,,279,77,12,3,15,17,1,1,12,6,,,1,1,,,19,17,1,2,3,3,,,5,5,1,,,1,,,48,20,2,1,5,3,,,3,1,1,,,,1,,1,2,,,,,,,,,,,,,,,12,5,,,,2,,,,1,,,,,,,,,,,1,,,,1,,,,,,,,314,95,16,9,19,9,1,,12,7,1,,2,1,,1,16,6,,2,4,,,,1,1,,,,,,,38,14,,,3,1,,1,2,3,,,,2,,,3,5,,,,,,,1,,,,,1,,,25,8,1,,1,2,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,5,5,,1,,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,
